0,1,2,3
1.1343828,0.0,0.0,0.0
0.9455153,1.4635981000000002,-3.5990765,0.7203786999999999
0.8250360999999999,2.121992,-6.661161999999999,1.1264496000000002
0.60082746,2.9812627,-9.03225,0.27400222
0.50929695,3.4580144999999995,-10.257834,-0.9143796
0.43362185,3.4985633000000003,-11.625513,-1.3263317
0.36926565,3.647722,-12.64421,-0.7996867
0.30803955,3.824564,-13.444063,-0.34683648
0.23468648,3.4166782,-14.059721,-0.34287137
0.19260012,3.174226,-14.521939,-0.33704066
0.16691256,2.9476912,-14.8479,-0.23508236
0.14441579999999998,2.8358707,-15.12421,-0.05876199
0.121275365,2.5935206,-15.179563,0.09794271
0.07160026,2.4282682,-15.020906,0.17790243
0.042572618,2.379848,-14.910048000000002,0.11686668
